SMILES,Category
O=CC1(O)C(O)C(OC(O[C]2[CH][CH][C]3[C](O)[C]([C]4[CH][CH][C](O)[CH][CH]4)[C]([OH+][C]3[CH]2)C(=O)N)C1(O)C[NH2+]CC(CC=5C=N[CH+]C5)C(C)C)C(=O)[O-].CCO,Application_ds
OC1CC2N(C)C(C1)C3OC23.CC1CCCO1,Application_ds
O=S(=O)(C1=CC=C(C=C1)C)N2C(CC)C2C(C)C.CCO,Application_ds
OC=1C=CC2=CC1C3=CC(=CC=C3OC)CC4NCCC5=CC(OC)=C6OC=7C=C8C(=CC7OC6=C54)C(N(C)CC8)C2.CC1=CC=CC=C1,Application_ds
O=C(O)C1(C)CCC2(C)CCC3(C)C4CCC56C(OC(O)(CC(O)C5(CO)C4(C)CCC3(CCCCCC)C2C1)C6CCC)CC7=CC=C(C=C7)CCOC.CCO,Application_ds
CCOC(=O)[C@H]1CC2CCCCC2N1C(=O)[C@H](C)NC(=O)OCc1ccccc1.N#CC,Application_ds
Cc1cc(OCCCO)cc(OS(=O)(=O)c2cccc(C)c2)c1.CC(OCC)=O,Application_ds
COCCCCCCOc1ccc(C#N)cc1.CO,Application_ds
CCNC(=O)Nc1ccc(-c2ccc(NC(=O)[C@H]3CN4CCC3CC4)cc2)cc1.CCO,Application_ds
O=C(NC1=CC=C2OCCOC2=C1)NC3CC(CN4N=NC(=C4)C5CC5)C(O)C3O.CCO,Application_ds
NCc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O.CC(OCC)=O,Application_ds
O=C(OC)C=C(C)CCC=C(C)C1OC(C)(C)CC1.CC1CCCO1,Application_ds
Fc1cccc2c(Cl)ncnc12.O,Application_ds
COC1=C(C=CC(=C1)CS(=O)(=O)C)NC2=NC3=C(C=CN3)C(=N2)NC4=C(C(=CC=C4)F)C(=O)N.CC1=CC=CC=C1,Application_ds
O=Cc1ccc(-c2cccc(CN3CCCCC3)n2)cc1.CC(C)=O,Application_ds
O=C1OC2=CC=C(OC)C=C2C=C1C3=NC=4C=CC=CC4S3.CCO,Application_ds
O1CC(OC1(C)C)C2(C)CCC3(C)C(CCC45CC5(C)CCCC34)C2.CC1CCCO1,Application_ds
COC1CCC(CBr)CC1.O,Application_ds
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC1=CC=CC=C1,Application_ds
CC(c1ccc(C(=O)Nc2nn[nH]n2)cc1)N(C(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccc(C(C)(C)C)cc1.O=CN(C)C,Application_ds
Nc1nc(N)c(C(=O)/N=C2\NCC3(CCN(C(=O)CCc4ccc(OCC(=O)O)cc4)CC3)N2)nc1Cl.N#CC,Application_ds
COC[C@@H](NC(=O)Nc1cc2c(cn1)c(-c1cnn(C)c1)nn2C(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1.CC1=CC=CC=C1,Application_ds
COc1ccc(F)cc1-c1ccc(C=O)cc1OCc1ccccc1.CC1=CC=CC=C1,Application_ds
OC(COC=1C=CC=CC1)CN2CCC3=CC(OC)=C(OC)C=C3C2C.CC1=CC=CC=C1,Application_ds
O=C1OC(CC(C)C(O)C=C(C=C(C=C(C)C(OC2OC(C)C(O)C(O)C2O)C(C=C(C=C(OC)C=C1C)C)C)C)C)C(C)C3(O)OC(CCCOC)C(O)(C)C(O)C3OC.CO,Application_ds
CN1CCN([C@@H]2CC[C@H](n3cc(-c4ccc5c(c4)OC(c4ccccc4)CC5)c4c(N)ncnc43)CC2)CC1=O.CCO,Application_ds
NS(=O)(=O)Cc1cccc(F)c1.O,Application_ds
CCOC(=O)Cc1cc(Cl)ccc1O.CCO,Application_ds
COc1c(-c2ccc3cccc(Br)c3n2)cc(C(C)(C)C)cc1C(C)(C)C.O=CN(C)C,Application_ds
O=C(C1=NN(C(=NN=CC=2OC=CC2)S1)C=3C=CC=CC3)C4=CC=C(C=C4)C.O,Application_ds
COc1ncc(B(O)O)cn1.CC(OCC)=O,Application_ds
CCCCNc1ccccc1.CC(OCC)=O,Application_ds
  CS(=O)(=O)Nc1ccc(NS(=O)(=O)NCCCl)cc1Oc1ccccc1.CC(OCC)=O,Application_ds
Cc1c(C(=O)N2CCC(N3CCCC3)CC2)c(C(F)(F)F)nn1-c1cccc(C(F)(F)F)c1.CCO,Application_ds
O=C(OC1CCC2(C)C(CCC3(C)C2CC=C4C5CC(C)(C)CCC5(C(=O)O)CCC43C)C1(C)C)C=CC6=CC=C(O)C=C6.CC1CCCO1,Application_ds
O=C(CC(OC)CCC=CC(C)CC(O)C(O)CC(C)C(O)C(O)CC(O)CCC(O)CC(=CC(O)C(O)C1OC(CC(O)C1O)C(O)CCC(=C)C(O)C(O)C2OC(C(O)C(O)C=CCCC=CC=CC=CCCC=C)C(O)C(O)C2)C)CC3OC(CCCCC(O)CO)CCC3.O=CN(C)C,Application_ds
NC(=O)N1CCC(Br)C1=O.CC1=CC=CC=C1,Application_ds
O=C(O)CCCCCC1OC2(OC1CCC2O)CCCCCCCCCCCC.CC(C)=O,Application_ds
O=C(Nc1ccc(C(=O)O)cc1)C1=CCCCC1.CC(C)=O,Application_ds
O=C(NC1=NC=CC=C1)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F.O=CN(C)C,Application_ds
COc1c(N)cc(C(F)(F)F)cc1NS(C)(=O)=O.O,Application_ds
CCn1c(SC)nc(O)c(Br)c1=O.CC(OCC)=O,Application_ds
O=C1C=C(O)C(=O)C(=C1)C2COC3=C(OC)C(OC)=CC=C3C2.O,Application_ds
O=C1N(C)C(O)(C(=O)N(C)C1CC2=CNC3=CC=CC(=C32)[NH+]([O-])O)CC=4C=CC=CC4.N#CC,Application_ds
COc1cc2c(Oc3ccc(NC(=O)C4CCCN(c5ccc(F)cc5)C4=O)cc3F)ccnc2cc1OCCCN1CCOCC1.CC1=CC=CC=C1,Application_ds
